"#";LATITUDE;LONGITUDE;NAME
1;-10.76;-62.3583;ABRACOS_HILL
2;51.75;59.75;ADAMOWKA
3;21.7;-102.32;AGUASCALIENTES
4;43.7;0.25;AIRE_ADOUR
5;24.1586;55.1006;AL_KHAZNAH
6;42.0214;-93.7748;AMES
7;40.8517;109.629;AOE_BAOTOU
8;36.77;-97.13;ARM_CART_PONCA
9;36.64;-97.5;ARM_CART_SGP
10;36.93;-96.86;ARM_CART_SHIDLER
11;-23.798;133.888;ASP
12;-12.5425;131.307;AU-FOG
13;-12.4943;131.152;AU-HOW
14;-35.6557;148.152;AU-TUM
15;41.9972;-4.60306;AUTILLA
16;32.487;-114.7;AZ_BORDER_STATION
17;9.28;105.73;BAC_LIEU
18;14.7086;-16.4767;BAMBEY-ISRA
19;13.5412;2.66475;BANIZOUMBOU
20;52.61;0.53;BARTON_BENDISH
21;32.2822;-91.7387;BASKIN
22;50.5522;4.74494;BE-LON
23;-43.9024;-65.7651;BELMANIP_00001
24;-35.4368;-68.0011;BELMANIP_00003
25;-38.6913;-67.0271;BELMANIP_00004
26;-39.0882;-69.0583;BELMANIP_00006
27;-32.0335;-63.7794;BELMANIP_00007
28;-21.8158;-62.0896;BELMANIP_00009
29;-24.7802;-62.3381;BELMANIP_00010
30;-22.1715;-51.6665;BELMANIP_00013
31;-22.5947;-49.9576;BELMANIP_00014
32;-11.7422;-71.1148;BELMANIP_00017
33;-11.7465;-53.3447;BELMANIP_00019
34;-18.7696;-62.0803;BELMANIP_00020
35;-14.3384;-43.3384;BELMANIP_00024
36;-14.7254;-41.7471;BELMANIP_00025
37;-16.8169;-50.0985;BELMANIP_00026
38;-0.264328;-71.2695;BELMANIP_00028
39;-1.60556;-71.5518;BELMANIP_00029
40;-2.67854;-63.648;BELMANIP_00030
41;-4.47325;-54.648;BELMANIP_00031
42;-4.92849;-69.1288;BELMANIP_00032
43;-5.88134;-58.9878;BELMANIP_00033
44;-6.51177;-53.7028;BELMANIP_00034
45;-7.60093;-59.4101;BELMANIP_00035
46;-8.3481;-72.2965;BELMANIP_00036
47;-9.74506;-60.3351;BELMANIP_00038
48;-8.40302;-35.6065;BELMANIP_00040
49;7.06998;-59.4139;BELMANIP_00042
50;2.9457;-53.7684;BELMANIP_00044
51;1.77212;-63.7892;BELMANIP_00045
52;0.720435;-71.3605;BELMANIP_00046
53;5.73429;-69.186;BELMANIP_00047
54;3.99634;-71.6848;BELMANIP_00048
55;17.594;-89.7827;BELMANIP_00050
56;14.3184;-84.9776;BELMANIP_00051
57;29.9996;-104.19;BELMANIP_00056
58;27.5711;-103.608;BELMANIP_00057
59;28.891;-98.1605;BELMANIP_00058
60;39.5413;-80.5677;BELMANIP_00060
61;35.7971;-93.4936;BELMANIP_00061
62;34.2604;-110.508;BELMANIP_00063
63;30.6321;-105.284;BELMANIP_00068
64;38.6332;-98.9132;BELMANIP_00069
65;32.1832;-97.0654;BELMANIP_00070
66;39.8906;-88.2923;BELMANIP_00071
67;36.7011;-86.7947;BELMANIP_00072
68;41.5882;-77.8524;BELMANIP_00075
69;47.7168;-67.7938;BELMANIP_00081
70;46.7454;-70.4039;BELMANIP_00082
71;46.5925;-105.115;BELMANIP_00083
72;41.2419;-108.279;BELMANIP_00085
73;46.3371;-101.066;BELMANIP_00086
74;42.1273;-100.904;BELMANIP_00087
75;49.2711;-102.671;BELMANIP_00088
76;43.5445;-96.3368;BELMANIP_00089
77;42.7326;-82.2058;BELMANIP_00090
78;41.2516;-94.7811;BELMANIP_00091
79;52.3826;-124.286;BELMANIP_00094
80;52.7953;-96.2;BELMANIP_00095
81;50.2656;-85.7807;BELMANIP_00098
82;57.6586;-118.521;BELMANIP_00099
83;57.2807;-93.9929;BELMANIP_00100
84;57.1596;-157.684;BELMANIP_00103
